,T,year,month
97,10.018413064645184,1958.0,2.0
98,10.022467546546986,1958.0,3.0
99,10.055225875287674,1958.0,4.0
100,10.049885368979508,1958.0,5.0
101,10.010056486634006,1958.0,6.0
102,9.988430982237322,1958.0,7.0
103,10.007406314521853,1958.0,8.0
104,9.989353069472248,1958.0,9.0
105,10.003759098227597,1958.0,10.0
106,10.0145816124409,1958.0,11.0
107,10.004734051468951,1958.0,12.0
108,10.010439686245688,1959.0,1.0
109,10.01097790104376,1959.0,2.0
110,10.02665449234727,1959.0,3.0
111,10.031321869529965,1959.0,4.0
112,10.001636478924775,1959.0,5.0
113,9.984887066339128,1959.0,6.0
114,9.951921457741273,1959.0,7.0
115,9.969532611330829,1959.0,8.0
116,9.98930968648484,1959.0,9.0
117,9.985604448057677,1959.0,10.0
118,10.010043981949892,1959.0,11.0
119,10.01760758529277,1959.0,12.0
120,10.004134822755304,1960.0,1.0
121,10.029030279553886,1960.0,2.0
122,10.02116509782476,1960.0,3.0
123,10.036936079728507,1960.0,4.0
124,10.035600860454453,1960.0,5.0
125,9.98531578222255,1960.0,6.0
126,9.996176380368471,1960.0,7.0
127,9.973352992383992,1960.0,8.0
128,10.012512207654325,1960.0,9.0
129,10.043394373960034,1960.0,10.0
130,10.026574145169779,1960.0,11.0
131,9.996012705108122,1960.0,12.0
132,10.027441197899304,1961.0,1.0
133,10.03533602995041,1961.0,2.0
134,10.034014741656192,1961.0,3.0
135,10.005017294727647,1961.0,4.0
136,10.000880368238612,1961.0,5.0
137,9.983798776207738,1961.0,6.0
138,9.959381676727121,1961.0,7.0
139,9.968235047821404,1961.0,8.0
140,9.97714582386837,1961.0,9.0
141,9.99392620204298,1961.0,10.0
142,10.01046974557922,1961.0,11.0
143,10.018514661887647,1961.0,12.0
144,10.018690649697266,1962.0,1.0
145,10.041153428776058,1962.0,2.0
146,10.045140477638151,1962.0,3.0
