,APE,year,month
272,-7033646.365289016,1972.0,9.0
273,-7035659.678067708,1972.0,10.0
274,-6986405.884910725,1972.0,11.0
275,-6886348.735635417,1972.0,12.0
276,-6987901.976303883,1973.0,1.0
277,-6937854.47133472,1973.0,2.0
278,-7027797.0512183625,1973.0,3.0
279,-7062335.388205833,1973.0,4.0
280,-6984007.616774361,1973.0,5.0
281,-6886576.009478941,1973.0,6.0
282,-6942052.748445185,1973.0,7.0
283,-6976856.682736684,1973.0,8.0
284,-6967699.953812852,1973.0,9.0
285,-7051155.381642233,1973.0,10.0
286,-7003058.556175711,1973.0,11.0
287,-6884369.705435343,1973.0,12.0
288,-6898419.6339478,1974.0,1.0
289,-6881706.073588501,1974.0,2.0
290,-6851138.798860243,1974.0,3.0
291,-6778399.272718715,1974.0,4.0
292,-6847878.840278312,1974.0,5.0
293,-6838553.14587975,1974.0,6.0
294,-6904656.554485108,1974.0,7.0
295,-6938321.181010604,1974.0,8.0
296,-6930102.352538531,1974.0,9.0
297,-7062736.325075023,1974.0,10.0
298,-7013302.015902848,1974.0,11.0
299,-7026052.240947063,1974.0,12.0
300,-6986744.425663531,1975.0,1.0
301,-6980480.654875875,1975.0,2.0
302,-6982293.749066535,1975.0,3.0
303,-6990172.700223258,1975.0,4.0
304,-6980979.337018676,1975.0,5.0
305,-7007705.943276111,1975.0,6.0
306,-7005469.053559576,1975.0,7.0
307,-7019742.641817661,1975.0,8.0
308,-6965151.490688315,1975.0,9.0
309,-7007524.425914239,1975.0,10.0
310,-6967621.591406827,1975.0,11.0
311,-6814673.241574617,1975.0,12.0
312,-6921602.383374283,1976.0,1.0
313,-6782651.514734888,1976.0,2.0
314,-6903654.986862538,1976.0,3.0
315,-6848029.094037901,1976.0,4.0
316,-6814951.505098571,1976.0,5.0
317,-6803140.333748948,1976.0,6.0
318,-6884725.241599651,1976.0,7.0
319,-6880738.673132199,1976.0,8.0
320,-6903112.960856682,1976.0,9.0
321,-7010967.981613298,1976.0,10.0
