,APE,year,month
238,-1.7859680948978246e+24,1969.0,11.0
239,-1.733442218632051e+24,1969.0,12.0
240,-1.7693093349817e+24,1970.0,1.0
241,-1.7801814001675687e+24,1970.0,2.0
242,-1.8025073881907035e+24,1970.0,3.0
243,-1.8020404497885362e+24,1970.0,4.0
244,-1.7911841153924115e+24,1970.0,5.0
245,-1.7848777925075008e+24,1970.0,6.0
246,-1.7894334798972879e+24,1970.0,7.0
247,-1.7832042775422236e+24,1970.0,8.0
248,-1.7708527771062348e+24,1970.0,9.0
249,-1.799515944803077e+24,1970.0,10.0
250,-1.787121104447456e+24,1970.0,11.0
251,-1.7460476689172405e+24,1970.0,12.0
252,-1.768232312351295e+24,1971.0,1.0
253,-1.776119572462284e+24,1971.0,2.0
254,-1.7691630629192116e+24,1971.0,3.0
255,-1.7813872067086172e+24,1971.0,4.0
256,-1.7731660314375032e+24,1971.0,5.0
257,-1.766009075507849e+24,1971.0,6.0
258,-1.7697348259654922e+24,1971.0,7.0
259,-1.7742342610944787e+24,1971.0,8.0
260,-1.769222058213927e+24,1971.0,9.0
261,-1.7797583347793498e+24,1971.0,10.0
262,-1.7572118411289732e+24,1971.0,11.0
263,-1.712429936564938e+24,1971.0,12.0
264,-1.7052060271276178e+24,1972.0,1.0
265,-1.706481809727778e+24,1972.0,2.0
266,-1.7379438118913278e+24,1972.0,3.0
267,-1.739354435851619e+24,1972.0,4.0
268,-1.7402149913873641e+24,1972.0,5.0
269,-1.742375691969818e+24,1972.0,6.0
270,-1.77035839697019e+24,1972.0,7.0
271,-1.7643729345480088e+24,1972.0,8.0
272,-1.7910297991728982e+24,1972.0,9.0
273,-1.7915424640119339e+24,1972.0,10.0
274,-1.779000603547951e+24,1972.0,11.0
275,-1.7535223058534942e+24,1972.0,12.0
276,-1.7793815644504858e+24,1973.0,1.0
277,-1.7666375952318485e+24,1973.0,2.0
278,-1.789540344733312e+24,1973.0,3.0
279,-1.7983350989114164e+24,1973.0,4.0
280,-1.7783899146569325e+24,1973.0,5.0
281,-1.7535801782862528e+24,1973.0,6.0
282,-1.7677066338242826e+24,1973.0,7.0
283,-1.7765690190235375e+24,1973.0,8.0
284,-1.7742373728881182e+24,1973.0,9.0
285,-1.7954882505101128e+24,1973.0,10.0
286,-1.7832409973525937e+24,1973.0,11.0
287,-1.753018370642977e+24,1973.0,12.0
288,-1.7565960086610387e+24,1974.0,1.0
289,-1.752340110212475e+24,1974.0,2.0
290,-1.7445565372156876e+24,1974.0,3.0
291,-1.726034329511286e+24,1974.0,4.0
292,-1.7437264296639172e+24,1974.0,5.0
293,-1.7413517585902861e+24,1974.0,6.0
294,-1.7581841622242485e+24,1974.0,7.0
295,-1.7667564369952324e+24,1974.0,8.0
296,-1.7646636154424718e+24,1974.0,9.0
297,-1.7984371924547953e+24,1974.0,10.0
298,-1.7858493658523906e+24,1974.0,11.0
299,-1.7890960506890133e+24,1974.0,12.0
300,-1.7790868087031465e+24,1975.0,1.0
301,-1.7774918180605627e+24,1975.0,2.0
302,-1.7779534997482012e+24,1975.0,3.0
303,-1.7799597758068836e+24,1975.0,4.0
304,-1.777618801211504e+24,1975.0,5.0
305,-1.7844243961691998e+24,1975.0,6.0
306,-1.783854800268054e+24,1975.0,7.0
307,-1.7874893904341896e+24,1975.0,8.0
308,-1.7735884387277852e+24,1975.0,9.0
309,-1.7843781750504094e+24,1975.0,10.0
310,-1.774217418884599e+24,1975.0,11.0
